transactionID,time,totalPaid
1,2008-06-10 14:32:00,1382.8466000000003
1,2008-06-11 05:32:00,3275.5803
2,2008-06-11 09:32:00,649.0192000000001
3,2008-06-11 12:32:00,2164.4709000000007
1,2008-06-12 12:32:00,1860.7942000000003
2,2008-06-12 17:32:00,1642.5998
3,2008-06-12 19:32:00,1767.7256000000002
1,2008-06-13 19:32:00,694.9542999999999
1,2008-06-14 05:32:00,833.1448000000001
2,2008-06-14 19:32:00,1284.2889000000002
1,2008-06-15 19:32:00,598.9111
1,2008-06-16 08:32:00,2319.417600000001
2,2008-06-16 09:32:00,711.2289999999999
1,2008-06-17 09:32:00,1793.4163
2,2008-06-17 17:32:00,2003.8960000000009
1,2008-06-18 09:32:00,213.71110000000004
2,2008-06-18 19:32:00,2625.6516000000006
1,2008-06-19 19:32:00,1157.2264
1,2008-06-20 00:32:00,1162.1056
1,2008-06-21 00:32:00,1651.3096000000003
1,2008-06-22 00:32:00,1602.9456
2,2008-06-22 08:32:00,2846.499599999999
3,2008-06-22 10:32:00,1913.2456000000004
1,2008-06-23 10:32:00,1507.7584000000002
2,2008-06-23 19:32:00,1305.6675
1,2008-06-24 19:32:00,608.3485
1,2008-06-25 07:32:00,150.7095
1,2008-06-26 07:32:00,2869.204999999999
2,2008-06-26 14:32:00,1878.5027000000007
3,2008-06-26 19:32:00,1186.0629000000001
1,2008-06-27 19:32:00,2428.7502000000004
1,2008-06-28 19:32:00,1354.8019000000004
1,2008-06-29 00:32:00,1827.2497000000005
2,2008-06-29 01:32:00,1213.701
1,2008-06-30 01:32:00,2817.6845000000008
1,2008-07-01 01:32:00,1759.1656000000005
2,2008-07-01 06:32:00,1668.3547
1,2008-07-02 06:32:00,960.3464000000001
2,2008-07-02 17:32:00,877.9778
3,2008-07-02 22:32:00,2518.2343000000005
1,2008-07-03 22:32:00,1728.1677000000004
1,2008-07-04 08:32:00,323.0116
2,2008-07-04 16:32:00,2924.7701
1,2008-07-05 00:32:00,2787.7780000000007
1,2008-07-06 00:32:00,1326.051
2,2008-07-06 13:32:00,1022.9841999999999
1,2008-07-07 13:32:00,939.0106
2,2008-07-07 17:32:00,2393.868200000001
1,2008-07-08 04:32:00,1478.9433000000004
1,2008-07-09 04:32:00,2083.3649000000005
2,2008-07-09 17:32:00,1964.3702000000005
1,2008-07-10 01:32:00,2734.4919999999997
2,2008-07-10 15:32:00,2146.1204000000007
3,2008-07-10 21:32:00,2246.9572000000007
1,2008-07-11 02:32:00,723.8443000000001
1,2008-07-12 02:32:00,2537.6441000000004
1,2008-07-13 02:32:00,365.7902
1,2008-07-14 02:32:00,1990.884800000001
1,2008-07-15 02:32:00,2535.5362000000005
1,2008-07-16 02:32:00,869.375
2,2008-07-16 12:32:00,1055.5443
3,2008-07-16 14:32:00,900.3301000000001
1,2008-07-17 14:32:00,1962.2623000000006
2,2008-07-17 15:32:00,1843.2355000000002
1,2008-07-18 15:32:00,444.67060000000004
2,2008-07-18 18:32:00,1862.6774000000005
1,2008-07-19 01:32:00,1213.6796000000004
1,2008-07-20 01:32:00,1718.3237000000004
2,2008-07-20 05:32:00,159.3123
1,2008-07-21 05:32:00,2808.4397000000004
2,2008-07-21 13:32:00,833.0271
3,2008-07-21 13:32:00,301.5474
4,2008-07-21 22:32:00,2726.253
1,2008-07-22 22:32:00,1645.7563000000005
1,2008-07-23 22:32:00,1316.3675
1,2008-07-24 22:32:00,768.8485000000002
1,2008-07-25 22:32:00,659.7512999999999
1,2008-07-26 04:32:00,2500.1727
2,2008-07-26 11:32:00,2937.556600000001
3,2008-07-26 19:32:00,1983.7372000000007
1,2008-07-27 19:32:00,1168.9857
1,2008-07-28 19:32:00,1550.4621000000002
1,2008-07-29 19:32:00,1057.6094
1,2008-07-30 19:32:00,1842.4009000000003
1,2008-07-31 19:32:00,1047.0271
1,2008-08-01 19:32:00,1809.0383000000004
1,2008-08-02 19:32:00,1486.3691000000003
1,2008-08-03 03:32:00,1616.9840000000002
2,2008-08-03 17:32:00,1375.2924
3,2008-08-03 18:32:00,2930.0024000000003
1,2008-08-04 18:32:00,2817.6738000000005
1,2008-08-05 18:32:00,3140.9314999999997
1,2008-08-06 18:32:00,1458.7310000000002
1,2008-08-07 05:32:00,741.0071
2,2008-08-07 19:32:00,1674.5928000000004
1,2008-08-08 19:32:00,2681.9443000000006
1,2008-08-09 02:32:00,515.3976
1,2008-08-10 02:32:00,322.9367
1,2008-08-11 02:32:00,953.7980000000001
